"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"15","Trogen","Trogen","Trogen","AR",61.95995785,"Trogen","Trogen","Trogen","AR","AR","AR",61.95995785,61.95995785,61.95995785
"16","Coppet","Coppet","Coppet","VD",61.595744681,"Coppet","Coppet","Coppet","VD","VD","VD",61.595744681,61.595744681,61.595744681
"17","Lenzburg","Lenzburg","Lenzburg","AG",61.339381003,"Lenzburg","Lenzburg","Lenzburg","AG","AG","AG",61.339381003,61.339381003,61.339381003
"18","Nyon","Nyon","Nyon","VD",61.322255613,"Nyon","Nyon","Nyon","VD","VD","VD",61.322255613,61.322255613,61.322255613
"19","Tannay","Tannay","Tannay","VD",61.060329068,"Tannay","Tannay","Tannay","VD","VD","VD",61.060329068,61.060329068,61.060329068
"20","Astano","Astano","Astano","TI",60.810810811,"Astano","Astano","Astano","TI","TI","TI",60.810810811,60.810810811,60.810810811
"21","Windisch","Windisch","Windisch","AG",60.790273556,"Windisch","Windisch","Windisch","AG","AG","AG",60.790273556,60.790273556,60.790273556
"22","Villars-sur-Glâne","Villars-sur-Glâne","Villars-sur-Glâne","FR",60.59165346,"Villars-sur-Glâne","Villars-sur-Glâne","Villars-sur-Glâne","FR","FR","FR",60.59165346,60.59165346,60.59165346
"23","Prilly","Prilly","Prilly","VD",60.110803324,"Prilly","Prilly","Prilly","VD","VD","VD",60.110803324,60.110803324,60.110803324
"24","Bourg-en-Lavaux","Bourg-en-Lavaux","Bourg-en-Lavaux","VD",60.06097561,"Bourg-en-Lavaux","Bourg-en-Lavaux","Bourg-en-Lavaux","VD","VD","VD",60.06097561,60.06097561,60.06097561
"25","Prangins","Prangins","Prangins","VD",60.028860029,"Prangins","Prangins","Prangins","VD","VD","VD",60.028860029,60.028860029,60.028860029
"26","Commugny","Commugny","Commugny","VD",59.891304348,"Commugny","Commugny","Commugny","VD","VD","VD",59.891304348,59.891304348,59.891304348
"27","Epalinges","Epalinges","Epalinges","VD",59.787657598,"Epalinges","Epalinges","Epalinges","VD","VD","VD",59.787657598,59.787657598,59.787657598
"28","La Tour-de-Peilz","La Tour-de-Peilz","La Tour-de-Peilz","VD",59.756097561,"La Tour-de-Peilz","La Tour-de-Peilz","La Tour-de-Peilz","VD","VD","VD",59.756097561,59.756097561,59.756097561
"29","Arlesheim","Arlesheim","Arlesheim","BL",59.673659674,"Arlesheim","Arlesheim","Arlesheim","BL","BL","BL",59.673659674,59.673659674,59.673659674
"30","Turgi","Turgi","Turgi","AG",59.63190184,"Turgi","Turgi","Turgi","AG","AG","AG",59.63190184,59.63190184,59.63190184
"31","Lutry","Lutry","Lutry","VD",59.442563167,"Lutry","Lutry","Lutry","VD","VD","VD",59.442563167,59.442563167,59.442563167
"32","Mies","Mies","Mies","VD",59.28030303,"Mies","Mies","Mies","VD","VD","VD",59.28030303,59.28030303,59.28030303
"33","Trélex","Trélex","Trélex","VD",59.17721519,"Trélex","Trélex","Trélex","VD","VD","VD",59.17721519,59.17721519,59.17721519
"34","Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD",59.124087591,"Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD","VD","VD",59.124087591,59.124087591,59.124087591
"35","Chexbres","Chexbres","Chexbres","VD",59.064327485,"Chexbres","Chexbres","Chexbres","VD","VD","VD",59.064327485,59.064327485,59.064327485
"36","Rodersdorf","Rodersdorf","Rodersdorf","SO",59.026888604,"Rodersdorf","Rodersdorf","Rodersdorf","SO","SO","SO",59.026888604,59.026888604,59.026888604
"37","Rolle","Rolle","Rolle","VD",58.896913986,"Rolle","Rolle","Rolle","VD","VD","VD",58.896913986,58.896913986,58.896913986
"38","Uster","Uster","Uster","ZH",58.797798787,"Uster","Uster","Uster","ZH","ZH","ZH",58.797798787,58.797798787,58.797798787
"39","Founex","Founex","Founex","VD",58.761904762,"Founex","Founex","Founex","VD","VD","VD",58.761904762,58.761904762,58.761904762
"40","Chavannes-des-Bois","Chavannes-des-Bois","Chavannes-des-Bois","VD",58.759124088,"Chavannes-des-Bois","Chavannes-des-Bois","Chavannes-des-Bois","VD","VD","VD",58.759124088,58.759124088,58.759124088
"41","Binningen","Binningen","Binningen","BL",58.286009293,"Binningen","Binningen","Binningen","BL","BL","BL",58.286009293,58.286009293,58.286009293
"42","Meyriez","Merlach","Merlach","FR",58.282208589,"Meyriez","Merlach","Merlach","FR","FR","FR",58.282208589,58.282208589,58.282208589
"43","Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO",58.184143223,"Starrkirch-Wil","Starrkirch-Wil","Starrkirch-Wil","SO","SO","SO",58.184143223,58.184143223,58.184143223
"44","Männedorf","Männedorf","Männedorf","ZH",58.18334031,"Männedorf","Männedorf","Männedorf","ZH","ZH","ZH",58.18334031,58.18334031,58.18334031
"45","Leysin","Leysin","Leysin","VD",58.133971292,"Leysin","Leysin","Leysin","VD","VD","VD",58.133971292,58.133971292,58.133971292
"46","Sursee","Sursee","Sursee","LU",58.034321373,"Sursee","Sursee","Sursee","LU","LU","LU",58.034321373,58.034321373,58.034321373
"47","Marly","Marly","Marly","FR",58.026456918,"Marly","Marly","Marly","FR","FR","FR",58.026456918,58.026456918,58.026456918
"48","Aranno","Aranno","Aranno","TI",58,"Aranno","Aranno","Aranno","TI","TI","TI",58,58,58
"49","Jouxtens-Mézery","Jouxtens-Mézery","Jouxtens-Mézery","VD",57.945425361,"Jouxtens-Mézery","Jouxtens-Mézery","Jouxtens-Mézery","VD","VD","VD",57.945425361,57.945425361,57.945425361
"50","Crans-près-Céligny","Crans-près-Céligny","Crans-près-Céligny","VD",57.92019347,"Crans-près-Céligny","Crans-près-Céligny","Crans-près-Céligny","VD","VD","VD",57.92019347,57.92019347,57.92019347
