"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"23","Démoret","Démoret","Démoret","VD",13.541666667,"Démoret","Démoret","Démoret","VD","VD","VD",86.458333333,86.458333333,86.458333333
"24","Rossenges","Rossenges","Rossenges","VD",13.636363636,"Rossenges","Rossenges","Rossenges","VD","VD","VD",86.363636364,86.363636364,86.363636364
"25","Raperswilen","Raperswilen","Raperswilen","TG",13.852813853,"Raperswilen","Raperswilen","Raperswilen","TG","TG","TG",86.147186147,86.147186147,86.147186147
"26","Alpthal","Alpthal","Alpthal","SZ",13.917525773,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",86.082474227,86.082474227,86.082474227
"27","Furna","Furna","Furna","GR",14.0625,"Furna","Furna","Furna","GR","GR","GR",85.9375,85.9375,85.9375
"28","Ursins","Ursins","Ursins","VD",14.285714286,"Ursins","Ursins","Ursins","VD","VD","VD",85.714285714,85.714285714,85.714285714
"29","Stalden (VS)","Stalden VS","Stalden VS","VS",14.822134387,"Stalden (VS)","Stalden VS","Stalden VS","VS","VS","VS",85.177865613,85.177865613,85.177865613
"30","Cuarny","Cuarny","Cuarny","VD",14.876033058,"Cuarny","Cuarny","Cuarny","VD","VD","VD",85.123966942,85.123966942,85.123966942
"31","Massongex","Massongex","Massongex","VS",14.939434724,"Massongex","Massongex","Massongex","VS","VS","VS",85.060565276,85.060565276,85.060565276
"32","Vuarrens","Vuarrens","Vuarrens","VD",15.011037528,"Vuarrens","Vuarrens","Vuarrens","VD","VD","VD",84.988962472,84.988962472,84.988962472
"33","Ormont-Dessous","Ormont-Dessous","Ormont-Dessous","VD",15.315315315,"Ormont-Dessous","Ormont-Dessous","Ormont-Dessous","VD","VD","VD",84.684684685,84.684684685,84.684684685
"34","Ferden","Ferden","Ferden","VS",15.447154472,"Ferden","Ferden","Ferden","VS","VS","VS",84.552845528,84.552845528,84.552845528
"35","Saint-Barthélemy (VD)","Saint-Barthélemy VD","Saint-Barthélemy VD","VD",15.46961326,"Saint-Barthélemy (VD)","Saint-Barthélemy VD","Saint-Barthélemy VD","VD","VD","VD",84.53038674,84.53038674,84.53038674
"36","Ependes (VD)","Ependes VD","Ependes VD","VD",15.46961326,"Ependes (VD)","Ependes VD","Ependes VD","VD","VD","VD",84.53038674,84.53038674,84.53038674
"37","Nendaz","Nendaz","Nendaz","VS",15.494428969,"Nendaz","Nendaz","Nendaz","VS","VS","VS",84.505571031,84.505571031,84.505571031
"38","Eggerberg","Eggerberg","Eggerberg","VS",15.584415584,"Eggerberg","Eggerberg","Eggerberg","VS","VS","VS",84.415584416,84.415584416,84.415584416
"39","Savièse","Savièse","Savièse","VS",15.781083953,"Savièse","Savièse","Savièse","VS","VS","VS",84.218916047,84.218916047,84.218916047
"40","Tartegnin","Tartegnin","Tartegnin","VD",15.841584158,"Tartegnin","Tartegnin","Tartegnin","VD","VD","VD",84.158415842,84.158415842,84.158415842
"41","Senarclens","Senarclens","Senarclens","VD",16,"Senarclens","Senarclens","Senarclens","VD","VD","VD",84,84,84
"42","Staldenried","Staldenried","Staldenried","VS",16.025641026,"Staldenried","Staldenried","Staldenried","VS","VS","VS",83.974358974,83.974358974,83.974358974
"43","Cuarnens","Cuarnens","Cuarnens","VD",16.058394161,"Cuarnens","Cuarnens","Cuarnens","VD","VD","VD",83.941605839,83.941605839,83.941605839
"44","Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS",16.165413534,"Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS","VS","VS",83.834586466,83.834586466,83.834586466
"45","Alberswil","Alberswil","Alberswil","LU",16.314199396,"Alberswil","Alberswil","Alberswil","LU","LU","LU",83.685800604,83.685800604,83.685800604
"46","Vaulion","Vaulion","Vaulion","VD",16.349809886,"Vaulion","Vaulion","Vaulion","VD","VD","VD",83.650190114,83.650190114,83.650190114
"47","Unterramsern","Unterramsern","Unterramsern","SO",16.666666667,"Unterramsern","Unterramsern","Unterramsern","SO","SO","SO",83.333333333,83.333333333,83.333333333
"48","Bofflens","Bofflens","Bofflens","VD",16.666666667,"Bofflens","Bofflens","Bofflens","VD","VD","VD",83.333333333,83.333333333,83.333333333
"49","Ergisch","Ergisch","Ergisch","VS",16.666666667,"Ergisch","Ergisch","Ergisch","VS","VS","VS",83.333333333,83.333333333,83.333333333
"50","Pailly","Pailly","Pailly","VD",17.132867133,"Pailly","Pailly","Pailly","VD","VD","VD",82.867132867,82.867132867,82.867132867
