"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"30","Corcelles-près-Payerne","Corcelles-près-Payerne","Corcelles-près-Payerne","VD",70.924195223,"Corcelles-près-Payerne","Corcelles-près-Payerne","Corcelles-près-Payerne","VD","VD","VD",70.924195223,70.924195223,70.924195223
"31","Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS",70.786516854,"Wiler (Lötschen)","Wiler (Lötschen)","Wiler (Lötschen)","VS","VS","VS",70.786516854,70.786516854,70.786516854
"32","Ménières","Ménières","Ménières","FR",70.718232044,"Ménières","Ménières","Ménières","FR","FR","FR",70.718232044,70.718232044,70.718232044
"33","Hermenches","Hermenches","Hermenches","VD",70.718232044,"Hermenches","Hermenches","Hermenches","VD","VD","VD",70.718232044,70.718232044,70.718232044
"34","Senarclens","Senarclens","Senarclens","VD",70.588235294,"Senarclens","Senarclens","Senarclens","VD","VD","VD",70.588235294,70.588235294,70.588235294
"35","Oekingen","Oekingen","Oekingen","SO",70.54631829,"Oekingen","Oekingen","Oekingen","SO","SO","SO",70.54631829,70.54631829,70.54631829
"36","Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD",70.484581498,"Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD","VD","VD",70.484581498,70.484581498,70.484581498
"37","Unterramsern","Unterramsern","Unterramsern","SO",70.454545455,"Unterramsern","Unterramsern","Unterramsern","SO","SO","SO",70.454545455,70.454545455,70.454545455
"38","Tartegnin","Tartegnin","Tartegnin","VD",70.408163265,"Tartegnin","Tartegnin","Tartegnin","VD","VD","VD",70.408163265,70.408163265,70.408163265
"39","Villars-Epeney","Villars-Epeney","Villars-Epeney","VD",70.37037037,"Villars-Epeney","Villars-Epeney","Villars-Epeney","VD","VD","VD",70.37037037,70.37037037,70.37037037
"40","Assens","Assens","Assens","VD",70.323741007,"Assens","Assens","Assens","VD","VD","VD",70.323741007,70.323741007,70.323741007
"41","Démoret","Démoret","Démoret","VD",70.212765957,"Démoret","Démoret","Démoret","VD","VD","VD",70.212765957,70.212765957,70.212765957
"42","Buch am Irchel","Buch am Irchel","Buch am Irchel","ZH",70.114942529,"Buch am Irchel","Buch am Irchel","Buch am Irchel","ZH","ZH","ZH",70.114942529,70.114942529,70.114942529
"43","Rueyres","Rueyres","Rueyres","VD",69.93006993,"Rueyres","Rueyres","Rueyres","VD","VD","VD",69.93006993,69.93006993,69.93006993
"44","Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD",69.841269841,"Chavannes-sur-Moudon","Chavannes-sur-Moudon","Chavannes-sur-Moudon","VD","VD","VD",69.841269841,69.841269841,69.841269841
"45","Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD",69.828926905,"Ormont-Dessus","Ormont-Dessus","Ormont-Dessus","VD","VD","VD",69.828926905,69.828926905,69.828926905
"46","Montcherand","Montcherand","Montcherand","VD",69.777777778,"Montcherand","Montcherand","Montcherand","VD","VD","VD",69.777777778,69.777777778,69.777777778
"47","Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD",69.696969697,"Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD","VD","VD",69.696969697,69.696969697,69.696969697
"48","Bofflens","Bofflens","Bofflens","VD",69.672131148,"Bofflens","Bofflens","Bofflens","VD","VD","VD",69.672131148,69.672131148,69.672131148
"49","Arnex-sur-Orbe","Arnex-sur-Orbe","Arnex-sur-Orbe","VD",69.523809524,"Arnex-sur-Orbe","Arnex-sur-Orbe","Arnex-sur-Orbe","VD","VD","VD",69.523809524,69.523809524,69.523809524
"50","Grandvillard","Grandvillard","Grandvillard","FR",69.300225734,"Grandvillard","Grandvillard","Grandvillard","FR","FR","FR",69.300225734,69.300225734,69.300225734
