"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6633,81.1,81.1,18.9,"Plan-les-Ouates GE","Plan-les-Ouates (GE)","Plan-les-Ouates GE","NA NA","Les habitants de Plan-les-Ouates acceptent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 81,1 pour cent de oui. Plan-les-Ouates a approuvé le texte, tout comme le canton.","NA NA"
6634,34.7,34.7,65.3,"Pregny-Chambésy GE","Pregny-Chambésy (GE)","Pregny-Chambésy GE","NA NA","Les habitants de Pregny-Chambésy rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 65,3 pour cent de non. Pregny-Chambésy a rejeté le texte, contrairement au canton.","NA NA"
6635,58.1,58.1,41.9,"PresinGE","Presinge (GE)","PresinGE","NA NA","Les habitants de Presinge approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 58,1 pour cent de oui. Presinge a approuvé le texte, tout comme le canton.","NA NA"
6636,41.9,41.9,58.1,"PuplinGE","Puplinge (GE)","PuplinGE","NA NA","A Puplinge, les habitants disent non à 58,1 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Puplinge a rejeté le texte, contrairement au canton.","NA NA"
6637,31,31,69,"Russin GE","Russin (GE)","Russin GE","NA NA","Les habitants de Russin rejettent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 69 pour cent de non. Russin a rejeté le texte, contrairement au canton.","NA NA"
6638,42.7,42.7,57.3,"Satigny GE","Satigny (GE)","Satigny GE","NA NA","Les habitants de Satigny s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 57,3 pour cent de non. Satigny a rejeté le texte, contrairement au canton.","NA NA"
6639,13.4,13.4,86.6,"Soral GE","Soral (GE)","Soral GE","NA NA","Les habitants de Soral s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 86,6 pour cent de non. Soral a rejeté le texte, contrairement au canton.","NA NA"
6640,86.8,86.8,13.2,"Thônex GE","Thônex (GE)","Thônex GE","NA NA","Les habitants de Thônex approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 86,8 pour cent de oui. Thônex a approuvé le texte, tout comme le canton.","NA NA"
6641,41.7,41.7,58.3,"Troinex GE","Troinex (GE)","Troinex GE","NA NA","A Troinex, les habitants disent non à 58,3 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Troinex a rejeté le texte, contrairement au canton.","NA NA"
6642,5.2,5.2,94.8,"Vandoeuvres GE","Vandoeuvres (GE)","Vandoeuvres GE","NA NA","Les habitants de Vandoeuvres s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 94,8 pour cent de non. C'est à Vandoeuvres que le refus le plus net de cet objet a été enregistré.","NA NA"
6643,59.4,59.4,40.6,"Vernier GE","Vernier (GE)","Vernier GE","NA NA","Les habitants de Vernier approuvent le déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex,  avec 59,4 pour cent de oui. Vernier a approuvé le texte, tout comme le canton.","NA NA"
6644,52.4,52.4,47.6,"Versoix GE","Versoix (GE)","Versoix GE","NA NA","A Versoix, les habitants disent oui à 52,4 pour cent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex. Versoix a approuvé le texte, tout comme le canton.","NA NA"
6645,8.2,8.2,91.8,"Veyrier GE","Veyrier (GE)","Veyrier GE","NA NA","Les habitants de Veyrier s'opposent au déclassement de la zone agricole de la Goutte de Saint-Mathieu, à Bernex, avec 91,8 pour cent de non. Veyrier a rejeté le texte, contrairement au canton.","NA NA"
